samplename,description
SeraCare13-6497-B3_S18_L001_R2_001.fastq.gz,SeraCare13
Control-Library-6480-A1_S1_L001_R1_001.fastq.gz,Control-Library
SeraCare11-6495-H2_S16_L001_R2_001.fastq.gz,SeraCare11
Control-Library-6480-A1_S1_L001_R2_001.fastq.gz,Control-Library
SeraCare12-6496-A3_S17_L001_R1_001.fastq.gz,SeraCare12
HIVG-01-6481-B1_S2_L001_R1_001.fastq.gz,HIVG-01
SeraCare14-6498-C3_S19_L001_R1_001.fastq.gz,SeraCare14
HIVG-01-6481-B1_S2_L001_R2_001.fastq.gz,HIVG-01
SeraCare14-6498-C3_S19_L001_R2_001.fastq.gz,SeraCare14
HIVG-02-6482-C1_S3_L001_R1_001.fastq.gz,HIVG-02
SeraCare15-6499-D3_S20_L001_R1_001.fastq.gz,SeraCare15
HIVG-02-6482-C1_S3_L001_R2_001.fastq.gz,HIVG-02
SeraCare15-6499-D3_S20_L001_R2_001.fastq.gz,SeraCare15
HIVG-03-6483-D1_S4_L001_R1_001.fastq.gz,HIVG-03
SeraCare16-6500-E3_S21_L001_R1_001.fastq.gz,SeraCare16
HIVG-03-6483-D1_S4_L001_R2_001.fastq.gz,HIVG-03
SeraCare16-6500-E3_S21_L001_R2_001.fastq.gz,SeraCare16
HIVG-04-6484-E1_S5_L001_R1_001.fastq.gz,HIVG-04
SeraCare17-6501-F3_S22_L001_R1_001.fastq.gz,SeraCare17
HIVG-04-6484-E1_S5_L001_R2_001.fastq.gz,HIVG-04
SeraCare17-6501-F3_S22_L001_R2_001.fastq.gz,SeraCare17
HIVG-06-6485-F1_S6_L001_R1_001.fastq.gz,HIVG-06
SeraCare18-6502-G3_S23_L001_R1_001.fastq.gz,SeraCare18
HIVG-06-6485-F1_S6_L001_R2_001.fastq.gz,HIVG-06
SeraCare18-6502-G3_S23_L001_R2_001.fastq.gz,SeraCare18
HIVG-07-6486-G1_S7_L001_R1_001.fastq.gz,HIVG-07
SeraCare19-6503-H3_S24_L001_R1_001.fastq.gz,SeraCare19
HIVG-07-6486-G1_S7_L001_R2_001.fastq.gz,HIVG-07
SeraCare19-6503-H3_S24_L001_R2_001.fastq.gz,SeraCare19
HIVG-08-6487-H1_S8_L001_R1_001.fastq.gz,HIVG-08
SeraCare2-6504-A4_S25_L001_R1_001.fastq.gz,SeraCare2
HIVG-08-6487-H1_S8_L001_R2_001.fastq.gz,HIVG-08
SeraCare2-6504-A4_S25_L001_R2_001.fastq.gz,SeraCare2
HIVG-09-6488-A2_S9_L001_R1_001.fastq.gz,HIVG-09
SeraCare20-6505-B4_S26_L001_R1_001.fastq.gz,SeraCare20
HIVG-09-6488-A2_S9_L001_R2_001.fastq.gz,HIVG-09
SeraCare20-6505-B4_S26_L001_R2_001.fastq.gz,SeraCare20
HIVG-10-6489-B2_S10_L001_R1_001.fastq.gz,HIVG-10
HIVG-10-6489-B2_S10_L001_R2_001.fastq.gz,HIVG-10
HIVG-12-6490-C2_S11_L001_R1_001.fastq.gz,HIVG-12
HIVG-12-6490-C2_S11_L001_R2_001.fastq.gz,HIVG-12
HIVG-14-6491-D2_S12_L001_R1_001.fastq.gz,HIVG-14
HIVG-14-6491-D2_S12_L001_R2_001.fastq.gz,HIVG-14
HIVG-16-6492-E2_S13_L001_R1_001.fastq.gz,HIVG-16
HIVG-16-6492-E2_S13_L001_R2_001.fastq.gz,HIVG-16
SeraCare1-6493-F2_S14_L001_R1_001.fastq.gz,SeraCare1
SeraCare1-6493-F2_S14_L001_R2_001.fastq.gz,SeraCare1
SeraCare10-6494-G2_S15_L001_R1_001.fastq.gz,SeraCare10
SeraCare10-6494-G2_S15_L001_R2_001.fastq.gz,SeraCare10
SeraCare11-6495-H2_S16_L001_R1_001.fastq.gz,SeraCare11
SeraCare12-6496-A3_S17_L001_R2_001.fastq.gz,SeraCare12
SeraCare13-6497-B3_S18_L001_R1_001.fastq.gz,SeraCare13
Control-Library-6480-A1_S1_L001_R1_001.fastq.gz,Control-Library
SeraCare9-6520-A6_S16_L001_R2_001.fastq.gz,SeraCare9
Control-Library-6480-A1_S1_L001_R2_001.fastq.gz,Control-Library
TH-1-6521-B6_S17_L001_R1_001.fastq.gz,TH-1
SeraCare21-6506-C4_S2_L001_R1_001.fastq.gz,SeraCare21
TH-3-6523-D6_S19_L001_R1_001.fastq.gz,TH-3
SeraCare21-6506-C4_S2_L001_R2_001.fastq.gz,SeraCare21
TH-3-6523-D6_S19_L001_R2_001.fastq.gz,TH-3
SeraCare22-6507-D4_S3_L001_R1_001.fastq.gz,SeraCare22
TH-4-6524-E6_S20_L001_R1_001.fastq.gz,TH-4
